leakage_group,image_count,split,datasets,unified_classes,has_exact_duplicate,has_near_duplicate
GROUP_03725,1,train,realwaste,Residual,False,False
GROUP_03726,1,train,ewaste,Electronic Device,False,False
GROUP_03727,1,train,realwaste,Textile,False,False
GROUP_03728,1,test,ewaste,Electronic Device,False,False
GROUP_03729,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03730,1,train,trashnet,Paper,False,False
GROUP_03731,1,train,ewaste,Electronic Component,False,False
GROUP_03732,1,train,phenomsg,Organic Stream,False,False
GROUP_03733,1,train,trashnet,Paper,False,False
GROUP_03734,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_03735,1,train,phenomsg,Organic Stream,False,False
GROUP_03736,1,val,trashnet,Paper,False,False
GROUP_03737,1,train,realwaste,Residual,False,False
GROUP_03738,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03739,1,train,realwaste,Plastic,False,False
GROUP_03740,1,train,ewaste,Electronic Component,False,False
GROUP_03741,1,train,trashnet,Metal,False,False
GROUP_03742,1,test,trashnet,Paper,False,False
GROUP_03743,1,train,realwaste,Glass,False,False
GROUP_03744,1,test,ewaste,Electronic Component,False,False
GROUP_03745,1,train,realwaste,Food Organics,False,False
GROUP_03746,1,train,ewaste,Electronic Device,False,False
GROUP_03747,1,train,ewaste,Electronic Device,False,False
GROUP_03748,1,train,ewaste,Electronic Device,False,False
GROUP_03749,2,train,phenomsg,Residual,False,True
GROUP_03750,1,train,realwaste,Metal,False,False
GROUP_03751,1,val,realwaste,Metal,False,False
GROUP_03752,1,test,realwaste,Plastic,False,False
GROUP_03753,1,train,trashnet,Metal,False,False
GROUP_03754,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03755,1,train,trashnet,Plastic,False,False
GROUP_03756,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03757,1,val,ewaste,Electronic Device,False,False
GROUP_03758,1,val,realwaste,Paper,False,False
GROUP_03759,1,test,realwaste,Plastic,False,False
GROUP_03760,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03761,1,val,realwaste,Plastic,False,False
GROUP_03762,1,test,ewaste,Electronic Device,False,False
GROUP_03763,1,train,realwaste,Cardboard,False,False
GROUP_03764,1,test,ewaste,Battery,False,False
GROUP_03765,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03766,1,test,realwaste,Cardboard,False,False
GROUP_03767,1,test,phenomsg,Organic Stream,False,False
GROUP_03768,1,val,realwaste,Metal,False,False
GROUP_03769,1,train,ewaste,Battery,False,False
GROUP_03770,1,val,phenomsg,Hazardous Waste,False,False
GROUP_03771,1,test,phenomsg,Hazardous Waste,False,False
GROUP_03772,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03773,1,train,ewaste,Electronic Device,False,False
GROUP_03774,1,train,ewaste,Electronic Device,False,False
GROUP_03775,1,train,realwaste,Paper,False,False
GROUP_03776,1,train,ewaste,Electronic Device,False,False
GROUP_03777,1,train,ewaste,Electronic Device,False,False
GROUP_03778,2,train,phenomsg,Hazardous Waste,True,True
GROUP_03779,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03780,1,train,trashnet,Plastic,False,False
GROUP_03781,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03782,1,train,phenomsg,Organic Stream,False,False
GROUP_03783,1,train,realwaste,Plastic,False,False
GROUP_03784,1,test,ewaste,Electronic Device,False,False
GROUP_03785,1,test,realwaste,Metal,False,False
GROUP_03786,2,train,ewaste,Electronic Device,False,True
GROUP_03787,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03788,1,train,realwaste,Cardboard,False,False
GROUP_03789,1,test,realwaste,Plastic,False,False
GROUP_03790,1,train,realwaste,Metal,False,False
GROUP_03791,1,test,realwaste,Metal,False,False
GROUP_03792,1,test,realwaste,Food Organics,False,False
GROUP_03793,1,train,trashnet,Metal,False,False
GROUP_03794,1,test,ewaste,Electronic Component,False,False
GROUP_03795,1,test,realwaste,Textile,False,False
GROUP_03796,1,train,trashnet,Plastic,False,False
GROUP_03797,1,train,ewaste,Electronic Component,False,False
GROUP_03798,1,val,trashnet,Metal,False,False
GROUP_03799,1,train,trashnet,Paper,False,False
GROUP_03800,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03801,1,val,realwaste,Textile,False,False
GROUP_03802,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03803,1,train,trashnet,Glass,False,False
GROUP_03804,1,val,trashnet,Plastic,False,False
GROUP_03805,1,train,ewaste,Electronic Device,False,False
GROUP_03806,1,train,realwaste,Plastic,False,False
GROUP_03807,1,test,realwaste,Paper,False,False
GROUP_03808,1,val,ewaste,Electronic Device,False,False
GROUP_03809,1,test,trashnet,Glass,False,False
GROUP_03810,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03811,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03812,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_03813,1,val,phenomsg,Recyclable Stream,False,False
GROUP_03814,1,val,trashnet,Glass,False,False
GROUP_03815,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03816,1,train,realwaste,Plastic,False,False
GROUP_03817,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03818,1,train,realwaste,Metal,False,False
GROUP_03819,1,train,realwaste,Paper,False,False
GROUP_03820,1,train,trashnet,Cardboard,False,False
GROUP_03821,1,train,ewaste,Battery,False,False
GROUP_03822,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03823,1,test,realwaste,Metal,False,False
GROUP_03824,1,train,realwaste,Glass,False,False
GROUP_03825,1,train,phenomsg,Organic Stream,False,False
GROUP_03826,1,train,trashnet,Residual,False,False
GROUP_03827,1,test,ewaste,Electronic Component,False,False
GROUP_03828,1,train,ewaste,Electronic Device,False,False
GROUP_03829,1,train,phenomsg,Organic Stream,False,False
GROUP_03830,1,test,realwaste,Plastic,False,False
GROUP_03831,1,val,phenomsg,Hazardous Waste,False,False
GROUP_03832,1,train,phenomsg,Organic Stream,False,False
GROUP_03833,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03834,1,test,phenomsg,Organic Stream,False,False
GROUP_03835,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03836,1,train,ewaste,Electronic Device,False,False
GROUP_03837,1,train,trashnet,Paper,False,False
GROUP_03838,1,train,realwaste,Paper,False,False
GROUP_03839,1,train,trashnet,Paper,False,False
GROUP_03840,1,train,realwaste,Metal,False,False
GROUP_03841,1,val,trashnet,Plastic,False,False
GROUP_03842,1,train,realwaste,Food Organics,False,False
GROUP_03843,1,train,phenomsg,Residual,False,False
GROUP_03844,2,train,phenomsg,Recyclable Stream,False,True
GROUP_03845,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03846,1,train,trashnet,Paper,False,False
GROUP_03847,1,train,ewaste,Electronic Device,False,False
GROUP_03848,1,train,trashnet,Metal,False,False
GROUP_03849,1,val,realwaste,Plastic,False,False
GROUP_03850,1,train,trashnet,Metal,False,False
GROUP_03851,1,val,realwaste,Plastic,False,False
GROUP_03852,1,val,realwaste,Plastic,False,False
GROUP_03853,1,test,realwaste,Vegetation,False,False
GROUP_03854,1,test,realwaste,Metal,False,False
GROUP_03855,1,train,realwaste,Metal,False,False
GROUP_03856,1,val,realwaste,Metal,False,False
GROUP_03857,1,train,trashnet,Plastic,False,False
GROUP_03858,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03859,1,train,trashnet,Metal,False,False
GROUP_03860,1,test,ewaste,Electronic Device,False,False
GROUP_03861,1,test,phenomsg,Organic Stream,False,False
GROUP_03862,1,val,trashnet,Plastic,False,False
GROUP_03863,1,test,trashnet,Paper,False,False
GROUP_03864,1,val,phenomsg,Organic Stream,False,False
GROUP_03865,1,train,realwaste,Residual,False,False
GROUP_03866,1,train,realwaste,Food Organics,False,False
GROUP_03867,1,train,realwaste,Paper,False,False
GROUP_03868,1,train,ewaste,Electronic Device,False,False
GROUP_03869,1,test,ewaste,Electronic Device,False,False
GROUP_03870,1,train,phenomsg,Residual,False,False
GROUP_03871,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03872,1,train,realwaste,Plastic,False,False
GROUP_03873,1,train,trashnet,Glass,False,False
GROUP_03874,1,val,ewaste,Battery,False,False
GROUP_03875,1,train,realwaste,Cardboard,False,False
GROUP_03876,1,val,trashnet,Plastic,False,False
GROUP_03877,1,train,realwaste,Residual,False,False
GROUP_03878,1,val,trashnet,Paper,False,False
GROUP_03879,1,train,trashnet,Residual,False,False
GROUP_03880,1,train,ewaste,Battery,False,False
GROUP_03881,1,train,trashnet,Glass,False,False
GROUP_03882,1,train,trashnet,Plastic,False,False
GROUP_03883,1,train,realwaste,Vegetation,False,False
GROUP_03884,1,train,realwaste,Metal,False,False
GROUP_03885,1,test,phenomsg,Hazardous Waste,False,False
GROUP_03886,1,train,trashnet,Glass,False,False
GROUP_03887,1,train,ewaste,Electronic Device,False,False
GROUP_03888,1,test,trashnet,Plastic,False,False
GROUP_03889,1,train,realwaste,Plastic,False,False
GROUP_03890,1,val,realwaste,Metal,False,False
GROUP_03891,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_03892,1,train,phenomsg,Organic Stream,False,False
GROUP_03893,1,train,realwaste,Residual,False,False
GROUP_03894,1,train,realwaste,Plastic,False,False
GROUP_03895,1,val,trashnet,Plastic,False,False
GROUP_03896,1,train,realwaste,Residual,False,False
GROUP_03897,1,val,ewaste,Electronic Device,False,False
GROUP_03898,1,train,trashnet,Plastic,False,False
GROUP_03899,1,train,ewaste,Electronic Device,False,False
GROUP_03900,1,train,phenomsg,Organic Stream,False,False
GROUP_03901,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03902,1,train,realwaste,Vegetation,False,False
GROUP_03903,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03904,1,train,trashnet,Paper,False,False
GROUP_03905,1,train,ewaste,Electronic Device,False,False
GROUP_03906,1,train,realwaste,Residual,False,False
GROUP_03907,1,train,ewaste,Electronic Component,False,False
GROUP_03908,1,train,ewaste,Electronic Component,False,False
GROUP_03909,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03910,1,train,realwaste,Paper,False,False
GROUP_03911,1,val,phenomsg,Organic Stream,False,False
GROUP_03912,1,train,ewaste,Electronic Device,False,False
GROUP_03913,1,test,realwaste,Food Organics,False,False
GROUP_03914,1,val,ewaste,Electronic Device,False,False
GROUP_03915,1,train,trashnet,Residual,False,False
GROUP_03916,1,train,trashnet,Paper,False,False
GROUP_03917,1,train,ewaste,Electronic Device,False,False
GROUP_03918,1,train,ewaste,Electronic Device,False,False
GROUP_03919,2,train,phenomsg,Hazardous Waste,True,True
GROUP_03920,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_03921,1,train,realwaste,Vegetation,False,False
GROUP_03922,1,train,trashnet,Paper,False,False
GROUP_03923,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_03924,1,train,ewaste,Electronic Device,False,False
GROUP_03925,1,train,realwaste,Metal,False,False
GROUP_03926,1,test,ewaste,Electronic Device,False,False
GROUP_03927,1,train,ewaste,Electronic Device,False,False
GROUP_03928,1,test,ewaste,Electronic Device,False,False
GROUP_03929,1,train,ewaste,Electronic Device,False,False
GROUP_03930,1,train,phenomsg,Residual,False,False
GROUP_03931,1,train,ewaste,Electronic Device,False,False
GROUP_03932,1,test,realwaste,Plastic,False,False
GROUP_03933,1,train,realwaste,Food Organics,False,False
GROUP_03934,1,test,realwaste,Plastic,False,False
GROUP_03935,1,val,trashnet,Cardboard,False,False
GROUP_03936,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_03937,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03938,1,train,phenomsg,Residual,False,False
GROUP_03939,1,train,trashnet,Glass,False,False
GROUP_03940,1,train,trashnet,Residual,False,False
GROUP_03941,1,val,trashnet,Cardboard,False,False
GROUP_03942,1,train,ewaste,Electronic Component,False,False
GROUP_03943,1,train,ewaste,Electronic Component,False,False
GROUP_03944,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03945,1,test,trashnet,Paper,False,False
GROUP_03946,2,train,phenomsg,Hazardous Waste,False,True
GROUP_03947,1,test,realwaste,Glass,False,False
GROUP_03948,1,train,ewaste,Electronic Device,False,False
GROUP_03949,1,train,realwaste,Glass,False,False
GROUP_03950,1,train,trashnet,Plastic,False,False
GROUP_03951,1,test,realwaste,Cardboard,False,False
GROUP_03952,1,train,trashnet,Paper,False,False
GROUP_03953,1,train,phenomsg,Organic Stream,False,False
GROUP_03954,1,val,realwaste,Glass,False,False
GROUP_03955,1,val,ewaste,Electronic Device,False,False
GROUP_03956,1,train,phenomsg,Recyclable Stream,False,False
GROUP_03957,1,train,realwaste,Plastic,False,False
GROUP_03958,1,train,realwaste,Residual,False,False
GROUP_03959,1,train,phenomsg,Residual,False,False
GROUP_03960,1,train,trashnet,Plastic,False,False
GROUP_03961,1,val,ewaste,Electronic Device,False,False
GROUP_03962,1,test,realwaste,Paper,False,False
GROUP_03963,1,train,realwaste,Vegetation,False,False
GROUP_03964,1,test,phenomsg,Hazardous Waste,False,False
GROUP_03965,1,train,phenomsg,Residual,False,False
GROUP_03966,1,train,realwaste,Paper,False,False
GROUP_03967,1,train,phenomsg,Hazardous Waste,False,False
GROUP_03968,1,train,realwaste,Glass,False,False
GROUP_03969,1,train,trashnet,Paper,False,False
GROUP_03970,1,train,trashnet,Cardboard,False,False
GROUP_03971,1,train,ewaste,Electronic Device,False,False
GROUP_03972,1,train,realwaste,Vegetation,False,False
GROUP_03973,1,val,phenomsg,Organic Stream,False,False
GROUP_03974,1,val,phenomsg,Residual,False,False
GROUP_03975,1,train,realwaste,Paper,False,False
GROUP_03976,1,train,trashnet,Residual,False,False
GROUP_03977,1,train,realwaste,Cardboard,False,False
GROUP_03978,1,val,realwaste,Metal,False,False
GROUP_03979,1,train,phenomsg,Organic Stream,False,False
GROUP_03980,1,train,realwaste,Paper,False,False
GROUP_03981,1,train,trashnet,Paper,False,False
GROUP_03982,1,test,phenomsg,Recyclable Stream,False,False
GROUP_03983,1,test,ewaste,Electronic Device,False,False
GROUP_03984,2,train,trashnet,Paper,False,True
GROUP_03985,1,val,realwaste,Cardboard,False,False
GROUP_03986,1,val,phenomsg,Hazardous Waste,False,False
GROUP_03987,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_03988,1,train,ewaste,Electronic Device,False,False
GROUP_03989,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_03990,2,train,phenomsg,Hazardous Waste,True,True
GROUP_03991,1,train,trashnet,Residual,False,False
GROUP_03992,1,train,realwaste,Metal,False,False
GROUP_03993,1,test,phenomsg,Organic Stream,False,False
GROUP_03994,1,train,ewaste,Electronic Device,False,False
GROUP_03995,1,train,trashnet,Plastic,False,False
GROUP_03996,1,train,phenomsg,Organic Stream,False,False
GROUP_03997,1,train,realwaste,Paper,False,False
GROUP_03998,1,train,realwaste,Metal,False,False
GROUP_03999,1,test,realwaste,Food Organics,False,False
GROUP_04000,1,val,realwaste,Metal,False,False
GROUP_04001,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04002,1,train,realwaste,Plastic,False,False
GROUP_04003,1,train,realwaste,Vegetation,False,False
GROUP_04004,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04005,1,train,trashnet,Glass,False,False
GROUP_04006,1,test,ewaste,Electronic Device,False,False
GROUP_04007,1,val,phenomsg,Organic Stream,False,False
GROUP_04008,1,train,ewaste,Electronic Device,False,False
GROUP_04009,1,train,ewaste,Electronic Component,False,False
GROUP_04010,1,test,realwaste,Metal,False,False
GROUP_04011,1,train,ewaste,Electronic Component,False,False
GROUP_04012,1,test,phenomsg,Organic Stream,False,False
GROUP_04013,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_04014,1,train,trashnet,Metal,False,False
GROUP_04015,1,train,realwaste,Paper,False,False
GROUP_04016,1,train,trashnet,Cardboard,False,False
GROUP_04017,1,train,trashnet,Plastic,False,False
GROUP_04018,1,test,realwaste,Paper,False,False
GROUP_04019,1,train,trashnet,Plastic,False,False
GROUP_04020,1,test,realwaste,Glass,False,False
GROUP_04021,1,test,trashnet,Residual,False,False
GROUP_04022,1,train,ewaste,Electronic Device,False,False
GROUP_04023,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04024,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04025,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04026,1,test,realwaste,Food Organics,False,False
GROUP_04027,1,train,realwaste,Food Organics,False,False
GROUP_04028,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04029,1,train,realwaste,Plastic,False,False
GROUP_04030,1,val,phenomsg,Organic Stream,False,False
GROUP_04031,1,test,ewaste,Electronic Device,False,False
GROUP_04032,1,val,ewaste,Electronic Component,False,False
GROUP_04033,1,train,trashnet,Plastic,False,False
GROUP_04034,2,train,ewaste,Electronic Device,False,True
GROUP_04035,1,test,phenomsg,Organic Stream,False,False
GROUP_04036,1,train,realwaste,Plastic,False,False
GROUP_04037,1,val,trashnet,Metal,False,False
GROUP_04038,1,train,realwaste,Plastic,False,False
GROUP_04039,1,train,ewaste,Electronic Device,False,False
GROUP_04040,1,train,ewaste,Electronic Device,False,False
GROUP_04041,1,train,realwaste,Textile,False,False
GROUP_04042,1,val,realwaste,Food Organics,False,False
GROUP_04043,1,train,realwaste,Residual,False,False
GROUP_04044,1,test,phenomsg,Residual,False,False
GROUP_04045,1,train,realwaste,Glass,False,False
GROUP_04046,1,val,phenomsg,Hazardous Waste,False,False
GROUP_04047,1,train,phenomsg,Organic Stream,False,False
GROUP_04048,1,val,realwaste,Cardboard,False,False
GROUP_04049,1,test,trashnet,Plastic,False,False
GROUP_04050,1,train,trashnet,Metal,False,False
GROUP_04051,1,train,phenomsg,Residual,False,False
GROUP_04052,1,val,phenomsg,Organic Stream,False,False
GROUP_04053,1,train,ewaste,Electronic Device,False,False
GROUP_04054,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04055,1,train,ewaste,Electronic Component,False,False
GROUP_04056,1,train,ewaste,Battery,False,False
GROUP_04057,1,val,ewaste,Electronic Device,False,False
GROUP_04058,1,test,realwaste,Textile,False,False
GROUP_04059,1,train,realwaste,Metal,False,False
GROUP_04060,1,train,realwaste,Plastic,False,False
GROUP_04061,1,train,trashnet,Metal,False,False
GROUP_04062,1,train,phenomsg,Residual,False,False
GROUP_04063,1,train,realwaste,Metal,False,False
GROUP_04064,1,train,realwaste,Glass,False,False
GROUP_04065,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04066,1,val,trashnet,Plastic,False,False
GROUP_04067,1,train,realwaste,Food Organics,False,False
GROUP_04068,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04069,1,train,ewaste,Electronic Device,False,False
GROUP_04070,1,train,phenomsg,Residual,False,False
GROUP_04071,1,train,realwaste,Glass,False,False
GROUP_04072,1,train,ewaste,Electronic Device,False,False
GROUP_04073,1,train,realwaste,Cardboard,False,False
GROUP_04074,1,train,realwaste,Metal,False,False
GROUP_04075,1,val,realwaste,Cardboard,False,False
GROUP_04076,1,test,ewaste,Electronic Device,False,False
GROUP_04077,1,train,trashnet,Cardboard,False,False
GROUP_04078,1,train,realwaste,Cardboard,False,False
GROUP_04079,1,train,realwaste,Metal,False,False
GROUP_04080,1,train,ewaste,Electronic Device,False,False
GROUP_04081,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04082,1,train,phenomsg,Organic Stream,False,False
GROUP_04083,1,train,trashnet,Plastic,False,False
GROUP_04084,1,train,realwaste,Plastic,False,False
GROUP_04085,1,train,phenomsg,Residual,False,False
GROUP_04086,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04087,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_04088,1,train,realwaste,Glass,False,False
GROUP_04089,1,val,ewaste,Electronic Component,False,False
GROUP_04090,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04091,1,val,phenomsg,Organic Stream,False,False
GROUP_04092,1,train,ewaste,Battery,False,False
GROUP_04093,1,train,realwaste,Food Organics,False,False
GROUP_04094,1,test,realwaste,Plastic,False,False
GROUP_04095,1,train,ewaste,Electronic Device,False,False
GROUP_04096,1,val,realwaste,Metal,False,False
GROUP_04097,1,train,realwaste,Metal,False,False
GROUP_04098,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04099,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04100,1,train,trashnet,Metal,False,False
GROUP_04101,1,train,realwaste,Cardboard,False,False
GROUP_04102,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_04103,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04104,1,train,realwaste,Residual,False,False
GROUP_04105,1,train,realwaste,Paper,False,False
GROUP_04106,1,test,realwaste,Vegetation,False,False
GROUP_04107,1,val,ewaste,Electronic Component,False,False
GROUP_04108,1,test,phenomsg,Hazardous Waste,False,False
GROUP_04109,1,test,realwaste,Metal,False,False
GROUP_04110,1,train,ewaste,Electronic Device,False,False
GROUP_04111,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04112,1,test,realwaste,Metal,False,False
GROUP_04113,1,train,realwaste,Metal,False,False
GROUP_04114,1,train,phenomsg,Residual,False,False
GROUP_04115,1,train,realwaste,Plastic,False,False
GROUP_04116,1,train,realwaste,Paper,False,False
GROUP_04117,1,train,ewaste,Electronic Device,False,False
GROUP_04118,1,test,trashnet,Paper,False,False
GROUP_04119,1,test,ewaste,Battery,False,False
GROUP_04120,1,train,realwaste,Metal,False,False
GROUP_04121,1,train,realwaste,Glass,False,False
GROUP_04122,1,train,realwaste,Food Organics,False,False
GROUP_04123,1,val,trashnet,Glass,False,False
GROUP_04124,1,train,realwaste,Plastic,False,False
GROUP_04125,1,test,phenomsg,Residual,False,False
GROUP_04126,1,train,phenomsg,Residual,False,False
GROUP_04127,1,val,realwaste,Paper,False,False
GROUP_04128,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_04129,1,test,phenomsg,Residual,False,False
GROUP_04130,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04131,1,train,trashnet,Plastic,False,False
GROUP_04132,1,train,trashnet,Cardboard,False,False
GROUP_04133,1,train,ewaste,Electronic Device,False,False
GROUP_04134,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04135,1,val,phenomsg,Recyclable Stream,False,False
GROUP_04136,1,test,phenomsg,Recyclable Stream,False,False
GROUP_04137,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04138,1,train,trashnet,Glass,False,False
GROUP_04139,1,train,realwaste,Cardboard,False,False
GROUP_04140,1,train,ewaste,Electronic Device,False,False
GROUP_04141,1,train,ewaste,Electronic Device,False,False
GROUP_04142,1,train,ewaste,Electronic Device,False,False
GROUP_04143,1,val,realwaste,Paper,False,False
GROUP_04144,2,train,phenomsg,Residual,False,True
GROUP_04145,1,test,trashnet,Plastic,False,False
GROUP_04146,1,test,phenomsg,Residual,False,False
GROUP_04147,1,test,ewaste,Electronic Device,False,False
GROUP_04148,1,train,trashnet,Cardboard,False,False
GROUP_04149,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04150,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04151,1,train,realwaste,Glass,False,False
GROUP_04152,1,val,ewaste,Electronic Device,False,False
GROUP_04153,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04154,1,train,realwaste,Metal,False,False
GROUP_04155,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04156,1,train,trashnet,Paper,False,False
GROUP_04157,1,val,trashnet,Plastic,False,False
GROUP_04158,1,test,ewaste,Electronic Device,False,False
GROUP_04159,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04160,1,val,trashnet,Glass,False,False
GROUP_04161,1,val,realwaste,Plastic,False,False
GROUP_04162,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04163,1,test,realwaste,Plastic,False,False
GROUP_04164,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04165,1,train,trashnet,Paper,False,False
GROUP_04166,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04167,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04168,1,train,realwaste,Paper,False,False
GROUP_04169,1,train,phenomsg,Residual,False,False
GROUP_04170,1,val,realwaste,Vegetation,False,False
GROUP_04171,1,train,trashnet,Glass,False,False
GROUP_04172,1,train,ewaste,Electronic Device,False,False
GROUP_04173,1,train,ewaste,Electronic Device,False,False
GROUP_04174,1,train,trashnet,Plastic,False,False
GROUP_04175,1,train,ewaste,Electronic Device,False,False
GROUP_04176,1,train,realwaste,Residual,False,False
GROUP_04177,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04178,1,test,ewaste,Electronic Device,False,False
GROUP_04179,1,test,ewaste,Electronic Device,False,False
GROUP_04180,1,train,realwaste,Textile,False,False
GROUP_04181,1,train,trashnet,Cardboard,False,False
GROUP_04182,1,train,realwaste,Paper,False,False
GROUP_04183,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04184,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04185,1,train,realwaste,Metal,False,False
GROUP_04186,1,train,trashnet,Paper,False,False
GROUP_04187,1,test,realwaste,Metal,False,False
GROUP_04188,1,train,trashnet,Glass,False,False
GROUP_04189,1,test,realwaste,Residual,False,False
GROUP_04190,1,val,trashnet,Cardboard,False,False
GROUP_04191,1,train,realwaste,Cardboard,False,False
GROUP_04192,1,train,realwaste,Metal,False,False
GROUP_04193,2,train,ewaste,Electronic Device,False,True
GROUP_04194,1,val,realwaste,Vegetation,False,False
GROUP_04195,1,train,ewaste,Electronic Component,False,False
GROUP_04196,1,train,realwaste,Cardboard,False,False
GROUP_04197,1,val,trashnet,Metal,False,False
GROUP_04198,2,train,phenomsg,Hazardous Waste,True,True
GROUP_04199,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04200,1,train,ewaste,Electronic Device,False,False
GROUP_04201,1,train,trashnet,Plastic,False,False
GROUP_04202,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04203,1,train,ewaste,Battery,False,False
GROUP_04204,1,test,phenomsg,Recyclable Stream,False,False
GROUP_04205,1,val,realwaste,Cardboard,False,False
GROUP_04206,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04207,1,train,ewaste,Electronic Device,False,False
GROUP_04208,1,train,realwaste,Metal,False,False
GROUP_04209,1,train,phenomsg,Residual,False,False
GROUP_04210,1,train,realwaste,Paper,False,False
GROUP_04211,2,train,phenomsg,Recyclable Stream|Residual,False,True
GROUP_04212,1,train,phenomsg,Organic Stream,False,False
GROUP_04213,1,train,phenomsg,Organic Stream,False,False
GROUP_04214,2,train,phenomsg,Recyclable Stream,False,True
GROUP_04215,1,train,realwaste,Paper,False,False
GROUP_04216,1,val,phenomsg,Organic Stream,False,False
GROUP_04217,1,train,trashnet,Paper,False,False
GROUP_04218,1,train,realwaste,Metal,False,False
GROUP_04219,1,train,phenomsg,Hazardous Waste,False,False
GROUP_04220,1,train,phenomsg,Residual,False,False
GROUP_04221,1,test,phenomsg,Organic Stream,False,False
GROUP_04222,1,val,realwaste,Textile,False,False
GROUP_04223,1,train,realwaste,Paper,False,False
GROUP_04224,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04225,1,train,realwaste,Vegetation,False,False
GROUP_04226,1,val,phenomsg,Residual,False,False
GROUP_04227,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04228,1,train,phenomsg,Recyclable Stream,False,False
GROUP_04229,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_04230,1,test,realwaste,Cardboard,False,False
GROUP_04231,1,train,ewaste,Electronic Device,False,False
GROUP_04232,1,test,realwaste,Food Organics,False,False
GROUP_04233,1,train,ewaste,Electronic Device,False,False
